Postcode,Latitude,Longitude,LSOA Code,LSOA Name
EH3 6LX,55.959016,-3.191187,S01008847,New Town East and Gayfield - 03
EH3 6LY,55.958892,-3.191920,S01008848,New Town East and Gayfield - 04
EH3 6LZ,55.958701,-3.193068,S01008848,New Town East and Gayfield - 04
EH3 6NA,55.959235,-3.192668,S01008848,New Town East and Gayfield - 04
EH3 6NB,55.959648,-3.191783,S01008847,New Town East and Gayfield - 03
EH3 6ND,55.959928,-3.192609,S01008847,New Town East and Gayfield - 03
EH3 6NE,55.960543,-3.194021,S01008853,Canonmills and New Town North - 01
EH3 6NF,55.960899,-3.194417,S01008853,Canonmills and New Town North - 01
EH3 6NG,55.961075,-3.194790,S01008853,Canonmills and New Town North - 01
EH3 6NL,55.957431,-3.193397,S01008848,New Town East and Gayfield - 04
EH3 6NN,55.957254,-3.194096,S01008848,New Town East and Gayfield - 04
EH3 6NP,55.957845,-3.194307,S01008848,New Town East and Gayfield - 04
EH3 6NQ,55.961037,-3.194981,S01008853,Canonmills and New Town North - 01
EH3 6NR,55.958347,-3.193473,S01008848,New Town East and Gayfield - 04
EH3 6NS,55.958102,-3.193690,S01008848,New Town East and Gayfield - 04
EH3 6NT,55.958257,-3.192605,S01008848,New Town East and Gayfield - 04
EH3 6NU,55.957534,-3.193032,S01008848,New Town East and Gayfield - 04
EH3 6NW,55.957310,-3.194771,S01008848,New Town East and Gayfield - 04
EH3 6NX,55.957772,-3.191645,S01008848,New Town East and Gayfield - 04
EH3 6NY,55.958059,-3.191702,S01008848,New Town East and Gayfield - 04
EH3 6NZ,55.958507,-3.191796,S01008848,New Town East and Gayfield - 04
EH3 6PA,55.958509,-3.191540,S01008848,New Town East and Gayfield - 04
EH3 6PB,55.958297,-3.191213,S01008847,New Town East and Gayfield - 03
EH3 6PD,55.957980,-3.190515,S01008847,New Town East and Gayfield - 03
EH3 6PE,55.958332,-3.190365,S01008847,New Town East and Gayfield - 03
EH3 6PH,55.957918,-3.195046,S01008854,Canonmills and New Town North - 02
EH3 6PJ,55.957931,-3.196568,S01008854,Canonmills and New Town North - 02
EH3 6PL,55.958655,-3.196942,S01008854,Canonmills and New Town North - 02
EH3 6PN,55.959097,-3.195819,S01008853,Canonmills and New Town North - 01
EH3 6PP,55.959487,-3.194469,S01008848,New Town East and Gayfield - 04
