Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
EH6 7BJ,Yes,55.974998,-3.164149,327446,676390,NT274763,Leith,,1980-01-01,,8,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008781,The Shore and Constitution Street - 04,S01014831,The Shore and Constitution Street - 04
EH6 7BL,Yes,55.975219,-3.164573,327420,676415,NT274764,Leith,,1980-01-01,,7,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008780,The Shore and Constitution Street - 03,S01014831,The Shore and Constitution Street - 03
EH6 7BN,Yes,55.976692,-3.164585,327422,676579,NT274765,Leith,,1991-07-01,,6,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008780,The Shore and Constitution Street - 03,S01014816,The Shore and Constitution Street - 03
EH6 7BP,Yes,55.975329,-3.165313,327374,676428,NT273764,Leith,,1980-01-01,,8,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008780,The Shore and Constitution Street - 03,S01014816,The Shore and Constitution Street - 03
EH6 7BQ,Yes,55.974561,-3.165755,327345,676343,NT273763,Leith,,1980-01-01,,7,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008782,The Shore and Constitution Street - 05,S01014832,The Shore and Constitution Street - 05
EH6 7BR,No,55.975557,-3.164903,327400,676453,NT273764,Leith,,1980-01-01,2018-05-01,7,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008780,The Shore and Constitution Street - 03,S01014816,The Shore and Constitution Street - 03
EH6 7BS,Yes,55.975954,-3.165716,327350,676498,NT273764,Leith,,1980-01-01,,8,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008780,The Shore and Constitution Street - 03,S01014816,The Shore and Constitution Street - 03
EH6 7BT,Yes,55.976282,-3.166175,327322,676535,NT273765,Leith,,1980-01-01,,7,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008780,The Shore and Constitution Street - 03,S01014832,The Shore and Constitution Street - 03
EH6 7BU,No,55.976941,-3.165890,327341,676608,NT273766,Leith,,1980-01-01,1999-06-01,6,Scotland,2026-05-29,Approximate to within 50 metres,S01008779,The Shore and Constitution Street - 02,S01014830,The Shore and Constitution Street - 02
EH6 7BW,Yes,55.975303,-3.164271,327439,676424,NT274764,Leith,,1980-01-01,,8,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008780,The Shore and Constitution Street - 03,S01014831,The Shore and Constitution Street - 03
EH6 7BX,Yes,55.977167,-3.166650,327294,676634,NT272766,Leith,,1980-01-01,,6,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008779,The Shore and Constitution Street - 02,S01014830,The Shore and Constitution Street - 02
EH6 7BY,Yes,55.976992,-3.167078,327267,676615,NT272766,Leith,,1980-01-01,,6,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008779,The Shore and Constitution Street - 02,S01014830,The Shore and Constitution Street - 02
EH6 7BZ,Yes,55.978307,-3.168672,327170,676763,NT271767,Leith,,1980-01-01,,5,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008779,The Shore and Constitution Street - 02,S01014830,The Shore and Constitution Street - 02
EH6 7DA,No,55.978477,-3.167747,327228,676781,NT272767,Leith,,1980-01-01,2000-06-01,5,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008779,The Shore and Constitution Street - 02,S01014830,The Shore and Constitution Street - 02
EH6 7DB,No,55.978477,-3.167747,327228,676781,NT272767,Leith,,2007-12-01,2008-01-01,5,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008779,The Shore and Constitution Street - 02,S01014830,The Shore and Constitution Street - 02
EH6 7DD,Yes,55.972153,-3.155235,327997,676064,NT279760,Leith,,2000-12-01,,6,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008768,Western Harbour and Leith Docks - 01,S01014816,Western Harbour and Leith Docks - 01
EH6 7DE,Yes,55.972231,-3.160365,327677,676078,NT276760,Leith,,2020-04-01,,6,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008768,Western Harbour and Leith Docks - 01,S01014815,Western Harbour and Leith Docks - 01
EH6 7DF,No,55.970948,-3.170581,327037,675946,NT270759,Leith,,1980-01-01,2006-11-01,16,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008785,Great Junction Street - 01,S01014836,Great Junction Street - 01
EH6 7DG,Yes,55.977509,-3.165635,327358,676671,NT273766,Leith,,2006-04-01,,6,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008780,The Shore and Constitution Street - 03,S01014816,The Shore and Constitution Street - 03
EH6 7DH,No,55.978477,-3.167747,327228,676781,NT272767,Leith,,1994-10-01,1995-12-01,5,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008779,The Shore and Constitution Street - 02,S01014830,The Shore and Constitution Street - 02
EH6 7DJ,Yes,55.977969,-3.167315,327254,676724,NT272767,Leith,,1980-01-01,,6,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008779,The Shore and Constitution Street - 02,S01014830,The Shore and Constitution Street - 02
EH6 7DL,Yes,55.977635,-3.166600,327298,676686,NT272766,Leith,,1980-01-01,,6,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008779,The Shore and Constitution Street - 02,S01014830,The Shore and Constitution Street - 02
EH6 7DN,Yes,55.977115,-3.161665,327605,676623,NT276766,Leith,,2015-09-01,,6,Scotland,2026-05-29,Imputed by ONS by reference to surrounding postcode grid references,S01008768,Western Harbour and Leith Docks - 01,S01014816,Western Harbour and Leith Docks - 01
EH6 7DP,Yes,55.974659,-3.154396,328054,676342,NT280763,Leith,,1980-01-01,,6,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008768,Western Harbour and Leith Docks - 01,S01014816,Western Harbour and Leith Docks - 01
EH6 7DQ,Yes,55.972483,-3.160324,327680,676106,NT276761,Leith,,2019-09-01,,7,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008768,Western Harbour and Leith Docks - 01,S01014815,Western Harbour and Leith Docks - 01
EH6 7DR,Yes,55.984924,-3.173039,326910,677504,NT269775,Leith,,1980-01-01,,6,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008768,Western Harbour and Leith Docks - 01,S01014816,Western Harbour and Leith Docks - 01
EH6 7DS,No,55.979687,-3.161501,327620,676909,NT276769,Leith,,1973-08-01,1994-12-01,7,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008768,Western Harbour and Leith Docks - 01,S01014816,Western Harbour and Leith Docks - 01
EH6 7DT,Yes,55.981011,-3.165932,327346,677061,NT273770,Leith,,1995-12-01,,7,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008768,Western Harbour and Leith Docks - 01,S01014816,Western Harbour and Leith Docks - 01
EH6 7DU,No,55.979687,-3.161501,327620,676909,NT276769,Leith,,1973-08-01,1994-12-01,7,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008768,Western Harbour and Leith Docks - 01,S01014816,Western Harbour and Leith Docks - 01
EH6 7DW,Yes,55.976857,-3.157555,327861,676590,NT278765,Leith,,1980-01-01,,6,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008768,Western Harbour and Leith Docks - 01,S01014816,Western Harbour and Leith Docks - 01
EH6 7DX,Yes,55.979775,-3.169229,327138,676927,NT271769,Leith,,1990-12-01,,5,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008768,Western Harbour and Leith Docks - 01,S01014816,Western Harbour and Leith Docks - 01
EH6 7DY,Yes,55.972966,-3.160499,327670,676160,NT276761,Leith,,2020-04-01,,5,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008768,Western Harbour and Leith Docks - 01,S01014817,Western Harbour and Leith Docks - 01
EH6 7DZ,No,55.980269,-3.175846,326726,676989,NT267769,Leith,,2001-12-01,2002-01-01,4,Scotland,2026-05-29,Postcode unit mean (mean of matched addresses with the same postcode but not snapped to a building),S01008768,Western Harbour and Leith Docks - 01,S01014816,Western Harbour and Leith Docks - 01
EH6 7EA,No,55.980168,-3.167606,327240,676969,NT272769,Leith,,1980-01-01,1995-12-01,7,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008768,Western Harbour and Leith Docks - 01,S01014816,Western Harbour and Leith Docks - 01
EH6 7EB,Yes,55.972795,-3.163346,327492,676144,NT274761,Leith,,2008-06-01,,11,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008792,South Leith - 01,S01014841,South Leith - 01
EH6 7ED,Yes,55.972298,-3.168426,327174,676094,NT271760,Leith,,1998-12-01,,10,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008782,The Shore and Constitution Street - 05,S01014833,The Shore and Constitution Street - 05
EH6 7EE,Yes,55.970500,-3.170407,327047,675896,NT270758,Leith,,1980-01-01,,16,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008792,South Leith - 01,S01014841,South Leith - 01
EH6 7EF,Yes,55.970424,-3.169924,327077,675887,NT270758,Leith,,1980-01-01,,16,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008792,South Leith - 01,S01014841,South Leith - 01
EH6 7EG,Yes,55.970601,-3.169289,327117,675906,NT271759,Leith,,1980-01-01,,15,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008792,South Leith - 01,S01014841,South Leith - 01
EH6 7EH,No,55.970363,-3.168753,327150,675879,NT271758,Leith,,1992-07-01,1994-12-01,15,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008792,South Leith - 01,S01014841,South Leith - 01
EH6 7EJ,Yes,55.971392,-3.156847,327895,675981,NT278759,Leith,,2022-08-01,,10,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008768,Western Harbour and Leith Docks - 01,S01014815,Western Harbour and Leith Docks - 01
